note_id,tweet_id,note_score,delta_seconds
1405208013649055744,1405102686123479043,-0.049505487,25112
1405212761257394177,1405102686123479043,0.1348863,26244
1463914557949153280,1463862896463601665,0.15500593,12317
1464026391108751364,1464024422025682950,0.15447484,469
1589893834820882434,1589815548065746944,0.114733666,18665
1537867954322391049,1537807543895998464,0.23676907,14403
1588574207880962049,1588545026099154946,0.28541124,6958
1588609187025674243,1588545026099154946,0.057856414,15297
1433442771923308547,1433220517344038912,0.54214114,52990
1433241378377568258,1433220517344038912,0.38453317,4974
1433448029944795140,1433220517344038912,0.40145764,54244
1440774101514133504,1440754303115743236,0.076027215,4720
1440779991801679877,1440754303115743236,-0.060900617,6125
1521855294153924610,1521546396591136768,-0.06065065,73647
1524824814325833734,1524425946970873857,0.0566348,95098
1524581293010399234,1524425946970873857,-0.0676548,37038
1591073877819539457,1590807357063585792,0.10410125,63543
1615416133988847629,1615405842735714304,0.32039246,2453
1615532659974758400,1615405842735714304,0.14010753,30235
1615749153593622532,1615405842735714304,0.473969,81852
1600973355989209088,1600958695403180032,0.22421072,3495
1601048063392583680,1600958695403180032,-0.0028766845,21306
1425062960708292621,1424917354627178497,0.20244029,34715
1424935006279925768,1424917354627178497,0.096433885,4209
1425074616603656202,1424917354627178497,0.13433568,37494
1424922061382709248,1424917354627178497,-0.09324989,1122
1425076925500837888,1424917354627178497,0.3089961,38045
1473336466952663050,1473315335164076040,0.19231087,5038
1473366727492837384,1473315335164076040,0.16678344,12253
1496836238581678085,1496500824876498946,0.16001162,79969
1557000928435240960,1556987104219090945,-0.031360373,3296
1557099582433005568,1556987104219090945,0.20015226,26817
1557177977754075137,1556987104219090945,-0.21579537,45508
1557090494651432961,1556987104219090945,-0.028977092,24650
1557046451305385986,1556987104219090945,-0.03666416,14150
1557141994270367745,1556987104219090945,0.031191377,36929
1624836461206937607,1624833732447293445,0.08585269,651
1432522343251726336,1432437469954383873,0.2963729,20236
1432481620078989316,1432437469954383873,0.14569813,10527
1432529455025737732,1432437469954383873,0.32177916,21931
1432775896210059266,1432437469954383873,0.33208013,80688
1557105741072420865,1556836924912017416,0.19098221,64090
1433482970527059976,1433448392613580808,0.120151885,8244
1412861370291339268,1412791612195938308,0.06779164,16632
1412935977253969922,1412791612195938308,0.12860405,34419
1437536276312477697,1437532566945341441,0.19701242,885
1437547567814938627,1437532566945341441,0.108087994,3577
1437536913523609603,1437532566945341441,-0.15077546,1036
