id,created_at,updated_at,post_id,prolific_id,session_id,condition,label
232,2024-10-15 18:13:01.473022+00:00,2024-10-15 18:13:01.473101+00:00,2939,60fcf59f1cadec09fdd68cab,670eb05e2dd1a2ac2e1b4bb1,no label,2
233,2024-10-15 18:13:07.609298+00:00,2024-10-15 18:13:07.609390+00:00,2201,660c2bb8527d1f703156abcb,670eaf8123045ccbdb79ef53,no label,6
234,2024-10-15 18:13:20.128043+00:00,2024-10-15 18:13:20.128126+00:00,2884,6672f62271d76001fb79f37c,670eb042f28995e214265888,no label,7
235,2024-10-15 18:13:54.346318+00:00,2024-10-15 18:13:54.346423+00:00,2082,661b08a7e0f98b7283c4d649,670eb0be2a4853f9b736a032,label,5
236,2024-10-15 18:14:17.808023+00:00,2024-10-15 18:14:17.808121+00:00,2740,5f93186d0e61130ad2fe395c,670eb073adeaba7e7fe6fb12,no label,2
237,2024-10-15 18:14:23.742831+00:00,2024-10-15 18:14:23.742930+00:00,2317,63192b009a902051e89fabf1,670eb05edd32bb47f865d4f7,label,3
238,2024-10-15 18:14:30.662086+00:00,2024-10-15 18:14:30.662182+00:00,2303,65a15f21ab62d20a9b853377,670eaf89ac39e7992b69c567,label,2
239,2024-10-15 18:14:37.209008+00:00,2024-10-15 18:14:37.209101+00:00,2356,6604556455786d67baec6db5,670eb08aeceabef60c76cb1d,no label,2
240,2024-10-15 18:14:45.435450+00:00,2024-10-15 18:14:45.435543+00:00,2283,66552118de96ef96e5ff1d18,670eb0baea4fcebb379615a0,label,7
241,2024-10-15 18:14:48.454294+00:00,2024-10-15 18:14:48.454387+00:00,2746,63d13da6727d092c414e7ea0,670eb073e386a9adcb2b7bec,label,6
242,2024-10-15 18:15:03.213988+00:00,2024-10-15 18:15:03.214080+00:00,2634,5e64a02eb7d70b20f250b129,670eb027756d8d3b2a73c118,label,2
243,2024-10-15 18:15:35.500393+00:00,2024-10-15 18:15:35.500488+00:00,2959,5e21deb5cf46ff4bb693fe85,670eb0ce8fd264282478f7a5,no label,4
244,2024-10-15 18:15:40.948350+00:00,2024-10-15 18:15:40.948444+00:00,2001,5ee00ba7431cdf357dca02ab,670eb0f48cc653fcbf4b0e51,label,4
245,2024-10-15 18:15:41.264133+00:00,2024-10-15 18:15:41.264221+00:00,2318,5be781ca3b047e0001a39e47,670eb072e8024f6e1f3d911d,no label,5
246,2024-10-15 18:15:44.393078+00:00,2024-10-15 18:15:44.393172+00:00,2318,5be781ca3b047e0001a39e47,670eb072e8024f6e1f3d911d,no label,5
247,2024-10-15 18:16:06.825048+00:00,2024-10-15 18:16:06.825137+00:00,2791,66462b9ab511e4deb4606725,670eb0bfc2c124297c4ee5fa,label,4
248,2024-10-15 18:16:17.438552+00:00,2024-10-15 18:16:17.438639+00:00,2852,6228f35da2410161a1221ac0,670eb133abf269e04ba2c633,label,4
249,2024-10-15 18:16:50.401149+00:00,2024-10-15 18:16:50.401242+00:00,2416,5c2d426389f035000175d171,670eb14cb2c7fc72d7e0cab6,label,7
250,2024-10-15 18:16:54.446775+00:00,2024-10-15 18:16:54.446881+00:00,2052,66ca30ef6485c36b4b2f4187,670eb12fe2563f5f3ca8a2fe,label,7
251,2024-10-15 18:16:57.548035+00:00,2024-10-15 18:16:57.548173+00:00,2214,5c416ce07f81e900012b552c,670eb068a764a8dfeb056a77,label,4
